Dataset,Acc_mean,Acc_std,F1_mean,F1_std,tstNum_mean,tstNum_std,Checkpoint,Sparsity,Repeat
cora,0.6218512009373169,0.0,0.561312964016571,0.0,3414.0,0.0,pretrain_link2,20.0,2
home,0.6235955056179775,0.0,0.4051143734726604,0.0,1958.0,0.0,pretrain_link2,20.0,2
pubmed,0.6985294117647058,0.0,0.6933289162146424,0.0,3944.0,0.0,pretrain_link2,20.0,2
tech,0.8423993253215265,0.0,0.7983759868741035,0.0,9486.0,0.0,pretrain_link2,20.0,2
OVERALL,0.6555745122765374,0.0,0.45457870546023743,0.0,,,pretrain_link2,20.0,2
arxiv,0.6355986255992429,0.0,0.3953472815816971,0.0,48603.0,0.0,pretrain_link2,20.0,3
cora,0.6274165202108963,0.0,0.5577069156654042,0.0,3414.0,0.0,pretrain_link2,20.0,3
home,0.6807967313585291,0.0,0.3736412981478126,0.0,1958.0,0.0,pretrain_link2,20.0,3
pubmed,0.7515212981744422,0.0,0.7380572383124404,0.0,3944.0,0.0,pretrain_link2,20.0,3
tech,0.8438751844823951,0.0,0.8042281974899771,0.0,9486.0,0.0,pretrain_link2,20.0,3
OVERALL,0.6725910540761071,0.0,0.4805351446905203,0.0,,,pretrain_link2,20.0,3
arxiv,0.6193033351850709,0.0,0.3654606852735284,0.0,48603.0,0.0,pretrain_link2,20.0,4
cora,0.6224370240187463,0.0,0.562940185699726,0.0,3414.0,0.0,pretrain_link2,20.0,4
home,0.643003064351379,0.0,0.39572032209142904,0.0,1958.0,0.0,pretrain_link2,20.0,4
pubmed,0.6554259634888439,0.0,0.5399970315196809,0.0,3944.0,0.0,pretrain_link2,20.0,4
tech,0.6319839763862535,0.0,0.3748142474317528,0.0,9486.0,0.0,pretrain_link2,20.0,4
OVERALL,0.6240486610785551,0.0,0.3878706344400922,0.0,,,pretrain_link2,20.0,4
arxiv,0.6166286031726437,0.0,0.3438436471492654,0.0,48603.0,0.0,pretrain_link2,20.0,5
cora,0.6200937316930287,0.0,0.5608273946687349,0.0,3414.0,0.0,pretrain_link2,20.0,5
home,0.6598569969356486,0.0,0.45336120233856303,0.0,1958.0,0.0,pretrain_link2,20.0,5
pubmed,0.6906693711967545,0.0,0.692430341825709,0.0,3944.0,0.0,pretrain_link2,20.0,5
tech,0.5916086864853468,0.0,0.3160675901798081,0.0,9486.0,0.0,pretrain_link2,20.0,5
OVERALL,0.6188710036347452,0.0,0.3745025023452262,0.0,,,pretrain_link2,20.0,5
arxiv,0.6387877291525215,0.0,0.4021661545426314,0.0,48603.0,0.0,pretrain_link2,20.0,6
cora,0.6253661394258934,0.0,0.5598724623435457,0.0,3414.0,0.0,pretrain_link2,20.0,6
home,0.6108273748723186,0.0,0.31577955059291135,0.0,1958.0,0.0,pretrain_link2,20.0,6
pubmed,0.6741886409736308,0.0,0.6411454676261076,0.0,3944.0,0.0,pretrain_link2,20.0,6
tech,0.850516550706304,0.0,0.8100392464106587,0.0,9486.0,0.0,pretrain_link2,20.0,6
OVERALL,0.6691640086047029,0.0,0.47902815179150177,0.0,,,pretrain_link2,20.0,6
arxiv,0.6377178363475505,0.0,0.3923863695446478,0.0,48603.0,0.0,pretrain_link2,20.0,7
cora,0.6236086701816052,0.0,0.5641918144406691,0.0,3414.0,0.0,pretrain_link2,20.0,7
home,0.6685393258426966,0.0,0.42443441225046463,0.0,1958.0,0.0,pretrain_link2,20.0,7
pubmed,0.6863590263691683,0.0,0.6788696377312545,0.0,3944.0,0.0,pretrain_link2,20.0,7
tech,0.6427366645582965,0.0,0.42671145342549927,0.0,9486.0,0.0,pretrain_link2,20.0,7
OVERALL,0.6414509309398413,0.0,0.4236124152669939,0.0,,,pretrain_link2,20.0,7
arxiv,0.6454539843219554,0.0,0.39933374080747075,0.0,48603.0,0.0,pretrain_link2,20.0,8
cora,0.6241944932630346,0.0,0.564971072937428,0.0,3414.0,0.0,pretrain_link2,20.0,8
home,0.6562819203268642,0.0,0.4081026474877163,0.0,1958.0,0.0,pretrain_link2,20.0,8
pubmed,0.7530425963488844,0.0,0.7339821102579777,0.0,3944.0,0.0,pretrain_link2,20.0,8
tech,0.6742567994939912,0.0,0.44678020185848394,0.0,9486.0,0.0,pretrain_link2,20.0,8
OVERALL,0.6550404272680068,0.0,0.4342359835166808,0.0,,,pretrain_link2,20.0,8
arxiv,0.6400633705738329,0.0,0.3864142140146464,0.0,48603.0,0.0,pretrain_link2,20.0,9
cora,0.6271236086701816,0.0,0.5599531595584373,0.0,3414.0,0.0,pretrain_link2,20.0,9
home,0.6705822267620021,0.0,0.4067655703348489,0.0,1958.0,0.0,pretrain_link2,20.0,9
pubmed,0.6863590263691683,0.0,0.6852105823113165,0.0,3944.0,0.0,pretrain_link2,20.0,9
tech,0.7006114273666456,0.0,0.5076855378841401,0.0,9486.0,0.0,pretrain_link2,20.0,9
OVERALL,0.6515243676285142,0.0,0.43034482109942557,0.0,,,pretrain_link2,20.0,9
arxiv,0.6331913667880583,0.0,0.374167000234877,0.0,48603.0,0.0,pretrain_link2,20.0,10
cora,0.6265377855887522,0.0,0.5599327141752563,0.0,3414.0,0.0,pretrain_link2,20.0,10
home,0.6802860061287027,0.0,0.4639162245017424,0.0,1958.0,0.0,pretrain_link2,20.0,10
pubmed,0.6767241379310345,0.0,0.6324154175097187,0.0,3944.0,0.0,pretrain_link2,20.0,10
tech,0.8250052709255745,0.0,0.7863975009809304,0.0,9486.0,0.0,pretrain_link2,20.0,10
OVERALL,0.663763815740672,0.0,0.459307322411511,0.0,,,pretrain_link2,20.0,10
arxiv,0.6328210192786453,0.0,0.3921844981015315,0.0,48603.0,0.0,pretrain_link2,30.0,1
cora,0.6183362624487405,0.0,0.555657007608182,0.0,3414.0,0.0,pretrain_link2,30.0,1
home,0.6593462717058223,0.0,0.4194777324511637,0.0,1958.0,0.0,pretrain_link2,30.0,1
pubmed,0.6643002028397565,0.0,0.653853739021987,0.0,3944.0,0.0,pretrain_link2,30.0,1
tech,0.8364958886780519,0.0,0.776912141631177,0.0,9486.0,0.0,pretrain_link2,30.0,1
OVERALL,0.6633632519842741,0.0,0.47071109424461843,0.0,,,pretrain_link2,30.0,1
arxiv,0.6131720264181223,0.0,0.36574734297616496,0.0,48603.0,0.0,pretrain_link2,30.0,2
cora,0.622729935559461,0.0,0.5612931148140081,0.0,3414.0,0.0,pretrain_link2,30.0,2
home,0.6557711950970377,0.0,0.3821834291107285,0.0,1958.0,0.0,pretrain_link2,30.0,2
pubmed,0.7418864097363083,0.0,0.7187793167316018,0.0,3944.0,0.0,pretrain_link2,30.0,2
tech,0.598460889732237,0.0,0.3049742844970192,0.0,9486.0,0.0,pretrain_link2,30.0,2
OVERALL,0.6203545731028856,0.0,0.3882329151661233,0.0,,,pretrain_link2,30.0,2
arxiv,0.6206201263296505,0.0,0.37190431583200095,0.0,48603.0,0.0,pretrain_link2,30.0,3
cora,0.624780316344464,0.0,0.5613218472121186,0.0,3414.0,0.0,pretrain_link2,30.0,3
home,0.6317671092951992,0.0,0.3731985667296615,0.0,1958.0,0.0,pretrain_link2,30.0,3
pubmed,0.6906693711967545,0.0,0.6809998964848402,0.0,3944.0,0.0,pretrain_link2,30.0,3
tech,0.8402909550917141,0.0,0.7907060737379693,0.0,9486.0,0.0,pretrain_link2,30.0,3
OVERALL,0.6561679400637935,0.0,0.4585600838162774,0.0,,,pretrain_link2,30.0,3
arxiv,0.6321626237063556,0.0,0.38535650799245214,0.0,48603.0,0.0,pretrain_link2,30.0,4
cora,0.6200937316930287,0.0,0.5565781543460598,0.0,3414.0,0.0,pretrain_link2,30.0,4
home,0.6276813074565883,0.0,0.33442196078364733,0.0,1958.0,0.0,pretrain_link2,30.0,4
pubmed,0.7000507099391481,0.0,0.6835926781813692,0.0,3944.0,0.0,pretrain_link2,30.0,4
tech,0.8514653173097196,0.0,0.768211597240053,0.0,9486.0,0.0,pretrain_link2,30.0,4
OVERALL,0.6662562124471478,0.0,0.4638792835883902,0.0,,,pretrain_link2,30.0,4
arxiv,0.6137481225438759,0.0,0.3470832416095848,0.0,48603.0,0.0,pretrain_link2,30.0,5
cora,0.6233157586408905,0.0,0.5619965670077839,0.0,3414.0,0.0,pretrain_link2,30.0,5
home,0.6225740551583249,0.0,0.3825660679641499,0.0,1958.0,0.0,pretrain_link2,30.0,5
pubmed,0.7028397565922921,0.0,0.6751700486685182,0.0,3944.0,0.0,pretrain_link2,30.0,5
tech,0.8156230234029096,0.0,0.7655234210453838,0.0,9486.0,0.0,pretrain_link2,30.0,5
OVERALL,0.6481121578517914,0.0,0.4370837961096978,0.0,,,pretrain_link2,30.0,5
arxiv,0.6426558031397239,0.0,0.386936679841011,0.0,48603.0,0.0,pretrain_link2,30.0,6
cora,0.630638547158758,0.0,0.5691829384220334,0.0,3414.0,0.0,pretrain_link2,30.0,6
home,0.6235955056179775,0.0,0.3683885712980913,0.0,1958.0,0.0,pretrain_link2,30.0,6
pubmed,0.6176470588235294,0.0,0.5803206609070058,0.0,3944.0,0.0,pretrain_link2,30.0,6
tech,0.8095087497364537,0.0,0.7470004868811996,0.0,9486.0,0.0,pretrain_link2,30.0,6
OVERALL,0.6635116089310882,0.0,0.4576160541482002,0.0,,,pretrain_link2,30.0,6
arxiv,0.6145916918708721,0.0,0.35093751308538557,0.0,48603.0,0.0,pretrain_link2,30.0,7
cora,0.6262448740480375,0.0,0.5597020452989802,0.0,3414.0,0.0,pretrain_link2,30.0,7
home,0.660367722165475,0.0,0.3361438159363709,0.0,1958.0,0.0,pretrain_link2,30.0,7
pubmed,0.7538032454361054,0.0,0.7462777417724187,0.0,3944.0,0.0,pretrain_link2,30.0,7
tech,0.844191440016867,0.0,0.791856189483386,0.0,9486.0,0.0,pretrain_link2,30.0,7
OVERALL,0.6569690675765892,0.0,0.4462647511272598,0.0,,,pretrain_link2,30.0,7
arxiv,0.6376972614859165,0.0,0.3937635710815566,0.0,48603.0,0.0,pretrain_link2,30.0,8
cora,0.6212653778558875,0.0,0.5598602532997666,0.0,3414.0,0.0,pretrain_link2,30.0,8
home,0.686414708886619,0.0,0.41558862713106287,0.0,1958.0,0.0,pretrain_link2,30.0,8
pubmed,0.691683569979716,0.0,0.6867985747143326,0.0,3944.0,0.0,pretrain_link2,30.0,8
tech,0.8309087075690491,0.0,0.7968371399570998,0.0,9486.0,0.0,pretrain_link2,30.0,8
OVERALL,0.6686299235961723,0.0,0.4766813585085868,0.0,,,pretrain_link2,30.0,8
arxiv,0.6259078657696027,0.0,0.380020448993345,0.0,48603.0,0.0,pretrain_link2,30.0,9
cora,0.6233157586408905,0.0,0.5654911828090298,0.0,3414.0,0.0,pretrain_link2,30.0,9
